TEAM,MATCH_UP,GAME_DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,DREB%,REB%,TS%,PACE,PIE,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,PTS OFF TO,2ND PTS,FBPS,PITP,OPP PTS OFF TO,OPP 2ND PTS,OPP FBPS,OPP PITP,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFF TO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
TOR,TOR vs. MEM,8/9/20,W,48,108,34,71,47.9,15,39,38.5,25,33,75.8,5,35,40,25,26,17,7,23,9,100.9,92.5,8.4,73.5,0.96,18.1,73.7,49,63.1,107,59,0.585,0.465,24.3,0.146,0.484,0.176,20.6,0.263,23,7,7,32,19,16,12,42,45.1,54.9,35.2,5.6,41.7,6.5,23.1,21.3,29.6,63.2,36.8,86.7,13.3,73.5,26.5
BOS,BOS vs. ORL,8/9/20,W,53,122,45,102,44.1,12,40,30,20,24,83.3,13,41,54,32,13,9,7,19,3,110.9,106.3,4.7,71.1,2.46,20.3,68.3,48.4,54.2,100.53,56.3,0.5,0.235,11.8,0.271,0.475,0.255,12.5,0.317,22,17,11,56,17,17,17,42,60.8,39.2,54.1,8.2,29.5,9,16.4,18,45.9,66.7,33.3,83.3,16.7,71.1,28.9
POR,POR vs. PHI,8/9/20,W,48,124,43,91,47.3,11,35,31.4,27,29,93.1,7,34,41,19,10,8,6,16,3,121.6,118.6,2.9,44.2,1.9,14.5,66,45.6,59.8,102,53.2,0.533,0.319,9.8,0.24,0.557,0.175,14.7,0.34,11,7,9,56,12,24,9,50,61.5,38.5,51.6,6.5,26.6,7.3,21.8,8.9,45.2,37.5,62.5,63.6,36.4,44.2,55.8
OKC,OKC vs. WAS,8/9/20,W,48,121,43,84,51.2,18,39,46.2,17,22,77.3,8,35,43,25,12,7,3,18,18,122.2,104,18.2,58.1,2.08,18.8,64.9,46.5,64.6,99,59.8,0.619,0.262,12.1,0.214,0.462,0.239,16.2,0.351,21,10,14,42,8,20,9,48,53.6,46.4,41.3,6.6,44.6,11.6,14,17.4,34.7,36,64,88.9,11.1,58.1,41.9
PHI,PHI @ POR,8/9/20,L,48,121,47,97,48.5,14,30,46.7,13,17,76.5,14,34,48,24,15,6,3,23,-3,118.6,121.6,-2.9,51.1,1.6,16.7,76,54.4,57.9,102,46.8,0.557,0.175,14.7,0.34,0.533,0.319,9.8,0.24,12,24,9,50,11,7,9,56,69.1,30.9,54.5,13.2,34.7,7.4,10.7,9.9,41.3,42.4,57.6,71.4,28.6,51.1,48.9
ORL,ORL @ BOS,8/9/20,L,53,119,41,102,40.2,15,47,31.9,22,26,84.6,12,40,52,24,14,7,4,25,-3,106.3,110.9,-4.7,58.5,1.71,15.4,72.9,51.6,52.5,100.53,43.7,0.475,0.255,12.5,0.317,0.5,0.235,11.8,0.271,17,17,17,42,22,17,11,56,53.9,46.1,43.7,8.4,37.8,14.3,18.5,14.3,35.3,38.5,61.5,93.3,6.7,58.5,41.5
LAC,LAC vs. BKN,8/9/20,L,48,120,45,93,48.4,13,36,36.1,17,20,85,10,29,39,23,10,8,2,19,-9,122.4,129,-6.6,51.1,2.3,17.4,73.2,45.1,58.9,99,45.4,0.554,0.215,10.2,0.22,0.671,0.224,16,0.268,22,13,16,48,11,17,17,48,61.3,38.7,53.3,13.3,32.5,13.3,14.2,18.3,40,40.6,59.4,76.9,23.1,51.1,48.9
MEM,MEM @ TOR,8/9/20,L,48,99,37,91,40.7,14,42,33.3,11,16,68.8,10,32,42,24,22,14,3,27,-9,92.5,100.9,-8.4,64.9,1.09,16.6,85.4,51,50.5,107,41,0.484,0.176,20.6,0.263,0.585,0.465,24.3,0.146,19,16,12,42,23,7,7,32,53.8,46.2,46.5,4,42.4,12.1,11.1,19.2,42.4,52.2,47.8,85.7,14.3,64.9,35.1
NOP,NOP vs. SAS,8/9/20,L,48,113,42,96,43.8,12,30,40,17,22,77.3,16,32,48,30,20,5,5,26,-9,105.6,111.9,-6.3,71.4,1.5,19.2,65.3,48.6,53.5,108,44.1,0.5,0.229,18.7,0.339,0.511,0.36,15.6,0.347,21,27,9,54,30,15,17,36,68.8,31.3,53.1,5.3,31.9,8,15,18.6,47.8,66.7,33.3,83.3,16.7,71.4,28.6
HOU,HOU @ SAC,8/9/20,W,48,129,43,91,47.3,18,57,31.6,25,30,83.3,8,40,48,21,15,9,3,18,17,116.2,101.8,14.4,48.8,1.4,14.7,87.2,53.1,61.9,110.5,54.1,0.571,0.33,13.5,0.216,0.529,0.264,16.4,0.128,18,9,11,50,18,2,9,58,37.4,62.6,38.8,0,41.9,8.5,19.4,14,38.8,44,56,55.6,44.4,48.8,51.2
SAC,SAC vs. HOU,8/9/20,L,48,112,41,87,47.1,10,37,27,20,23,87,5,36,41,29,18,9,2,22,-17,101.8,116.2,-14.4,70.7,1.61,20,78.4,46.9,57.7,110.5,45.9,0.529,0.264,16.4,0.128,0.571,0.33,13.5,0.216,18,2,9,58,18,9,11,50,57.5,42.5,55.4,3.6,26.8,8,17.9,16.1,51.8,67.7,32.3,80,20,70.7,29.3
UTA,UTA @ DEN,8/8/20,L,58,132,47,105,44.8,22,55,40,16,22,72.7,15,36,51,34,23,6,4,30,-2,110,110.7,-0.7,72.3,1.48,20,76.7,53.3,57.6,99.72,45.1,0.552,0.21,19.2,0.306,0.514,0.278,9.1,0.233,17,15,9,34,21,17,19,74,47.6,52.4,37.9,12.1,50,6.8,12.1,12.9,25.8,52,48,95.5,4.5,72.3,27.7
MIL,MIL @ DAL,8/8/20,L,53,132,47,99,47.5,15,44,34.1,23,34,67.6,9,46,55,26,13,3,9,26,-4,114.8,117.2,-2.5,55.3,2,17.2,70.1,47.5,57.9,104.6,47.4,0.551,0.343,11.3,0.2,0.491,0.217,6,0.299,6,11,20,48,19,17,15,54,55.6,44.4,48.5,12.1,34.1,15.2,17.4,4.5,36.4,40.6,59.4,86.7,13.3,55.3,44.7
PHX,PHX @ MIA,8/8/20,W,48,119,44,92,47.8,12,32,37.5,19,20,95,12,40,52,27,11,5,4,21,7,119,110.9,8.1,61.4,2.45,19.3,87,56.4,59,100.5,52.4,0.543,0.217,11,0.271,0.554,0.262,11.9,0.13,16,19,16,54,9,8,18,52,65.2,34.8,53.8,8.4,30.3,13.4,16,13.4,45.4,46.9,53.1,100,0,61.4,38.6
DAL,DAL vs. MIL,8/8/20,W,53,136,48,115,41.7,17,53,32.1,23,25,92,11,43,54,37,7,6,2,26,4,117.2,114.8,2.5,77.1,5.29,21.5,80,52.5,54,104.6,52.6,0.491,0.217,6,0.299,0.551,0.343,11.3,0.2,19,17,15,54,6,11,20,48,53.9,46.1,45.6,5.9,37.5,11,16.9,14,39.7,71,29,88.2,11.8,77.1,22.9
DEN,DEN vs. UTA,8/8/20,W,58,134,51,108,47.2,9,37,24.3,23,30,76.7,12,40,52,29,11,10,5,24,2,110.7,110,0.7,56.9,2.64,17.8,69.4,46.7,55.3,99.72,54.9,0.514,0.278,9.1,0.233,0.552,0.21,19.2,0.306,21,17,19,74,17,15,9,34,65.7,34.3,62.7,7.5,20.1,14.2,17.2,15.7,55.2,47.6,52.4,100,0,56.9,43.1
MIA,MIA vs. PHX,8/8/20,L,48,112,41,84,48.8,11,36,30.6,19,22,86.4,3,34,37,28,12,6,9,21,-7,110.9,119,-8.1,68.3,2.33,20.7,72.9,43.6,59.8,100.5,47.6,0.554,0.262,11.9,0.13,0.543,0.217,11,0.271,9,8,18,52,16,19,16,54,57.1,42.9,53.6,7.1,29.5,16.1,17,8,46.4,60,40,90.9,9.1,68.3,31.7
LAL,LAL @ IND,8/8/20,L,48,111,42,100,42,13,39,33.3,14,19,73.7,15,29,44,20,15,13,6,16,-5,108.8,113.7,-4.9,47.6,1.33,13.8,75,53,51.2,102,44.5,0.485,0.19,14.7,0.383,0.613,0.167,19.6,0.25,26,15,18,52,15,15,19,54,61,39,52.3,5.4,35.1,16.2,12.6,23.4,46.8,31,69,84.6,15.4,47.6,52.4
IND,IND vs. LAL,8/8/20,W,48,116,44,84,52.4,15,33,45.5,13,14,92.9,7,35,42,25,20,12,4,21,5,113.7,108.8,4.9,56.8,1.25,18.4,61.7,47,64.3,102,55.5,0.613,0.167,19.6,0.25,0.485,0.19,14.7,0.383,15,15,19,54,26,15,18,52,60.7,39.3,50,3.4,38.8,16.4,11.2,12.9,46.6,48.3,51.7,73.3,26.7,56.8,43.2
POR,POR vs. LAC,8/8/20,L,48,117,44,90,48.9,17,43,39.5,12,17,70.6,9,32,41,24,11,5,2,26,-5,115.8,120.8,-5,54.5,2.18,17.8,72.3,46.3,60,101,46.8,0.583,0.189,10.9,0.208,0.582,0.329,13.9,0.277,11,15,9,46,18,20,5,38,52.2,47.8,46.2,6.8,43.6,7.7,10.3,9.4,39.3,40.7,59.3,76.5,23.5,54.5,45.5
LAC,LAC @ POR,8/8/20,W,48,122,42,85,49.4,15,34,44.1,23,28,82.1,9,36,45,24,14,5,2,22,5,120.8,115.8,5,57.1,1.71,17.4,79.2,53.7,62.7,101,53.2,0.582,0.329,13.9,0.277,0.583,0.189,10.9,0.208,18,20,5,38,11,15,9,46,60,40,44.3,13.1,36.9,4.1,18.9,14.8,31.1,44.4,55.6,80,20,57.1,42.9
NOP,NOP vs. WAS,8/7/20,W,48,118,42,88,47.7,12,35,34.3,22,26,84.6,11,34,45,25,20,7,8,19,11,114.6,103.9,10.7,59.5,1.25,17.2,73.1,53.9,59.3,103,57.3,0.545,0.295,19.4,0.34,0.478,0.256,15.5,0.269,22,17,18,52,18,9,25,40,60.2,39.8,50.8,6.8,30.5,15.3,18.6,18.6,44.1,46.7,53.3,91.7,8.3,59.5,40.5
BOS,BOS @ TOR,8/7/20,W,48,122,47,96,49,16,46,34.8,12,16,75,9,43,52,27,15,8,2,22,22,117.3,94.3,23,57.4,1.8,18.9,81.5,53.3,59.2,105,57.6,0.573,0.167,14.4,0.235,0.483,0.191,17,0.185,26,13,19,50,11,8,13,54,52.1,47.9,50.8,9.8,39.3,15.6,9.8,21.3,41,48.4,51.6,75,25,57.4,42.6
PHI,PHI vs. ORL,8/7/20,W,48,108,38,93,40.9,8,29,27.6,24,33,72.7,15,36,51,19,9,4,4,20,7,110.2,104.1,6.1,50,2.11,13.7,73.1,52.6,50.2,97.5,53,0.452,0.355,9.2,0.355,0.466,0.284,11.3,0.269,9,21,11,54,6,13,7,48,68.8,31.2,55.6,5.6,22.2,10.2,22.2,8.3,50,43.3,56.7,75,25,50,50
ORL,ORL @ PHI,8/7/20,L,48,101,37,88,42,8,32,25,19,25,76,10,37,47,17,11,5,2,24,-7,104.1,110.2,-6.1,45.9,1.55,13.3,64.5,47.4,51,97.5,47,0.466,0.284,11.3,0.269,0.452,0.355,9.2,0.355,6,13,7,48,9,21,11,54,63.6,36.4,57.4,9.9,23.8,6.9,18.8,5.9,47.5,37.9,62.1,75,25,45.9,54.1
OKC,OKC @ MEM,8/7/20,L,48,92,34,97,35.1,13,43,30.2,11,15,73.3,12,24,36,19,10,12,2,20,-29,92,121,-29,55.9,1.9,14.1,65.8,40.2,44.4,100,31,0.418,0.155,10,0.25,0.62,0.241,20,0.342,16,8,4,36,10,20,12,56,55.7,44.3,45.7,6.5,42.4,4.3,12,17.4,39.1,42.9,57.1,76.9,23.1,55.9,44.1
SAS,SAS vs. UTA,8/7/20,W,48,119,45,89,50.6,9,22,40.9,20,26,76.9,8,39,47,27,13,10,5,18,8,113.3,105.7,7.6,60,2.08,19.1,75.4,50,59.2,105,55.4,0.556,0.292,12.4,0.204,0.505,0.264,15.2,0.246,15,8,14,64,11,4,5,34,75.3,24.7,60.5,6.7,22.7,11.8,16.8,12.6,53.8,52.8,47.2,88.9,11.1,60,40
MEM,MEM vs. OKC,8/7/20,W,48,121,46,83,55.4,11,31,35.5,18,20,90,12,46,58,24,20,6,4,19,29,121,92,29,52.2,1.2,17.5,75,59.8,65.9,100,69,0.62,0.241,20,0.342,0.418,0.155,10,0.25,10,20,12,56,16,8,4,36,62.7,37.3,57.9,11.6,27.3,9.9,14.9,8.3,46.3,40,60,90.9,9.1,52.2,47.8
UTA,UTA @ SAS,8/7/20,L,48,111,38,91,41.8,16,37,43.2,19,24,79.2,10,39,49,25,16,8,4,19,-8,105.7,113.3,-7.6,65.8,1.56,17.4,79.6,50,54.6,105,44.6,0.505,0.264,15.2,0.246,0.556,0.292,12.4,0.204,11,4,5,34,15,8,14,64,59.3,40.7,39.6,9,43.2,4.5,17.1,9.9,30.6,50,50,87.5,12.5,65.8,34.2
SAC,SAC @ BKN,8/7/20,L,48,106,38,89,42.7,12,40,30,18,24,75,13,37,50,19,15,3,4,26,-13,105,116.7,-11.7,50,1.27,14.1,80,52.9,53.2,101.5,40.3,0.494,0.27,14.9,0.278,0.587,0.326,10.8,0.2,14,17,4,40,18,11,6,38,55.1,44.9,49.1,11.3,34,3.8,17,13.2,37.7,34.6,65.4,83.3,16.7,50,50
BKN,BKN vs. SAC,8/7/20,W,48,119,42,86,48.8,17,40,42.5,18,28,64.3,7,37,44,30,11,9,3,23,13,116.7,105,11.7,71.4,2.73,21.1,72.2,47.1,60.5,101.5,59.7,0.587,0.326,10.8,0.2,0.494,0.27,14.9,0.278,18,11,6,38,14,17,4,40,53.5,46.5,42,10.1,42.9,5,15.1,15.1,31.9,60,40,88.2,11.8,71.4,28.6
TOR,TOR vs. BOS,8/7/20,L,48,100,38,89,42.7,10,38,26.3,14,17,82.4,9,39,48,20,18,8,7,18,-22,94.3,117.3,-23,52.6,1.11,14.7,76.5,46.7,51.8,105,42.4,0.483,0.191,17,0.185,0.573,0.167,14.4,0.235,11,8,13,54,26,13,19,50,57.3,42.7,56,2,30,13,14,11,54,42.9,57.1,80,20,52.6,47.4
WAS,WAS @ NOP,8/7/20,L,48,107,38,90,42.2,10,27,37,21,23,91.3,10,30,40,22,16,9,4,27,-11,103.9,114.6,-10.7,57.9,1.38,15.8,66,46.1,53.4,103,42.7,0.478,0.256,15.5,0.269,0.545,0.295,19.4,0.34,18,9,25,40,22,17,18,52,70,30,52.3,15,28,23.4,19.6,16.8,37.4,46.4,53.6,90,10,57.9,42.1
MIA,MIA @ MIL,8/6/20,L,48,116,35,83,42.2,21,46,45.7,25,27,92.6,6,33,39,28,19,6,1,28,-14,109.4,121.5,-12.1,80,1.47,19.6,84.6,47.7,61.1,106.5,40.8,0.548,0.325,17.9,0.184,0.622,0.487,13.1,0.154,27,10,19,22,26,8,12,36,44.6,55.4,24.1,5.2,54.3,16.4,21.6,23.3,19,71.4,28.6,85.7,14.3,80,20
DAL,DAL vs. LAC,8/6/20,L,48,111,39,87,44.8,17,48,35.4,16,21,76.2,8,29,37,24,8,3,4,17,-15,116.8,131.3,-14.4,61.5,3,18.6,69.8,42.6,57.7,95.5,44.4,0.546,0.241,8.4,0.196,0.62,0.163,8.3,0.302,4,14,0,36,9,18,5,58,44.8,55.2,39.6,7.2,45.9,0,14.4,3.6,32.4,50,50,76.5,23.5,61.5,38.5
NOP,NOP @ SAC,8/6/20,L,48,125,47,82,57.3,14,34,41.2,17,23,73.9,5,25,30,31,17,4,3,26,-15,123.8,137.3,-13.5,66,1.82,22.1,63,44.6,67.8,101.5,44.5,0.659,0.28,16.8,0.216,0.624,0.355,7.8,0.37,13,13,2,52,22,17,4,58,58.5,41.5,52.8,11.2,33.6,1.6,13.6,10.4,41.6,54.5,45.5,92.9,7.1,66,34
HOU,HOU vs. LAL,8/6/20,W,48,113,36,84,42.9,21,57,36.8,20,23,87,4,30,34,26,20,11,5,28,16,106.6,92.4,14.2,72.2,1.3,18.2,69.6,45.3,60,105.5,53.9,0.554,0.274,18.9,0.224,0.468,0.468,23.8,0.304,36,13,12,30,17,14,10,58,32.1,67.9,26.5,0,55.8,10.6,17.7,31.9,26.5,60,40,81,19,72.2,27.8
DEN,DEN vs. POR,8/6/20,L,48,115,44,84,52.4,14,28,50,13,17,76.5,11,33,44,30,16,5,4,22,-10,121.1,133,-11.9,68.2,1.88,22.1,68,51.6,62.9,94.5,48,0.607,0.202,16.8,0.326,0.592,0.217,9.6,0.32,14,9,6,52,24,9,5,32,66.7,33.3,52.2,7,36.5,5.2,11.3,12.2,45.2,60,40,85.7,14.3,68.2,31.8
MIL,MIL vs. MIA,8/6/20,W,48,130,41,78,52.6,15,37,40.5,33,38,86.8,5,39,44,27,14,7,3,21,14,121.5,109.4,12.1,65.9,1.93,19.3,81.6,52.3,68.6,106.5,59.2,0.622,0.487,13.1,0.154,0.548,0.325,17.9,0.184,26,8,12,36,27,10,19,22,52.6,47.4,40,12.3,34.6,9.2,25.4,20,27.7,61.5,38.5,73.3,26.7,65.9,34.1
IND,IND @ PHX,8/6/20,L,48,99,37,85,43.5,10,29,34.5,15,19,78.9,5,33,38,20,15,6,5,22,-15,96.1,110.7,-14.6,54.1,1.33,15.6,68,40,53,103,40.2,0.494,0.224,14.6,0.12,0.516,0.217,15.5,0.32,18,4,5,44,18,9,18,52,65.9,34.1,54.5,10.1,30.3,5.1,15.2,18.2,44.4,40.7,59.3,90,10,54.1,45.9
LAL,LAL @ HOU,8/6/20,L,48,97,35,77,45.5,2,19,10.5,25,36,69.4,12,36,48,18,25,11,6,20,-16,92.4,106.6,-14.2,51.4,0.72,13.1,77.6,54.7,52.2,105.5,46.1,0.468,0.468,23.8,0.304,0.554,0.274,18.9,0.224,17,14,10,58,36,13,12,30,75.3,24.7,68,8.2,6.2,10.3,25.8,17.5,59.8,48.5,51.5,100,0,51.4,48.6
SAC,SAC vs. NOP,8/6/20,W,48,140,50,93,53.8,16,33,48.5,24,33,72.7,13,26,39,26,8,11,3,20,15,137.3,123.8,13.5,52,3.25,17.9,78.4,55.4,65.1,101.5,55.5,0.624,0.355,7.8,0.37,0.659,0.28,16.8,0.216,22,17,4,58,13,13,2,52,64.5,35.5,48.6,7.1,34.3,2.9,17.1,15.7,41.4,35.3,64.7,87.5,12.5,52,48
PHX,PHX vs. IND,8/6/20,W,48,114,43,92,46.7,9,34,26.5,19,20,95,12,41,53,27,16,6,4,20,15,110.7,96.1,14.6,62.8,1.69,18.6,88,60,56.5,103,59.8,0.516,0.217,15.5,0.32,0.494,0.224,14.6,0.12,18,9,18,52,18,4,5,44,63,37,59.6,14,23.7,15.8,16.7,15.8,45.6,52.9,47.1,100,0,62.8,37.2
POR,POR @ DEN,8/6/20,W,48,125,43,92,46.7,23,39,59,16,20,80,13,26,39,30,9,7,6,18,10,133,121.1,11.9,69.8,3.33,21.4,67.4,48.4,62,94.5,52,0.592,0.217,9.6,0.32,0.607,0.202,16.8,0.326,24,9,5,32,14,9,6,52,57.6,42.4,32,6.4,55.2,4,12.8,19.2,25.6,70,30,69.6,30.4,69.8,30.2
LAC,LAC @ DAL,8/6/20,W,48,126,50,92,54.3,14,31,45.2,12,15,80,9,36,45,22,8,3,3,21,15,131.3,116.8,14.4,44,2.75,17.1,80.4,57.4,63.9,95.5,55.6,0.62,0.163,8.3,0.302,0.546,0.241,8.4,0.196,9,18,5,58,4,14,0,36,66.3,33.7,57.1,11.1,33.3,4,9.5,7.1,46,36.1,63.9,64.3,35.7,44,56
MEM,MEM @ UTA,8/5/20,L,48,115,43,91,47.3,11,29,37.9,18,25,72,9,32,41,21,14,7,3,28,-9,110.6,117,-6.4,48.8,1.5,15.3,68.1,45.8,56.4,105,44.1,0.533,0.275,13.5,0.245,0.56,0.393,17,0.319,23,10,5,56,15,17,6,36,68.1,31.9,55.7,7,28.7,4.3,15.7,20,48.7,34.4,65.6,90.9,9.1,48.8,51.2
PHI,PHI @ WAS,8/5/20,W,48,107,38,82,46.3,11,29,37.9,20,29,69,6,35,41,27,14,11,4,21,9,104.9,96.1,8.8,71.1,1.93,19.4,77.6,49,56.5,102,56.7,0.53,0.354,13.7,0.204,0.465,0.282,14.7,0.224,11,6,7,40,12,13,9,42,64.6,35.4,50.5,13.1,30.8,6.5,18.7,10.3,37.4,66.7,33.3,81.8,18.2,71.1,28.9
SAS,SAS vs. DEN,8/5/20,L,48,126,46,93,49.5,11,30,36.7,23,27,85.2,10,25,35,29,9,10,5,20,-6,124.8,132,-7.2,63,3.22,19.9,65.1,47.8,60.1,100.5,47.2,0.554,0.29,8.9,0.327,0.626,0.231,14,0.349,17,13,13,56,15,21,5,56,67.7,32.3,55.6,11.1,26.2,10.3,18.3,13.5,44.4,51.4,48.6,100,0,63,37
WAS,WAS vs. PHI,8/5/20,L,48,98,36,85,42.4,7,21,33.3,19,24,79.2,9,39,48,17,15,8,5,26,-9,96.1,104.9,-8.8,47.2,1.13,13.1,79.6,51,51.3,102,43.3,0.465,0.282,14.7,0.224,0.53,0.354,13.7,0.204,12,13,9,42,11,6,7,40,75.3,24.7,59.2,16.3,21.4,9.2,19.4,12.2,42.9,34.5,65.5,100,0,47.2,52.8
BKN,BKN @ BOS,8/5/20,L,48,115,45,95,47.4,8,32,25,17,21,81,7,27,34,23,18,9,2,22,-34,106.5,136.7,-30.2,51.1,1.28,16.1,75.6,46.8,55.2,108.5,35.7,0.516,0.221,16.7,0.245,0.682,0.398,12.8,0.244,15,14,9,72,19,9,15,48,66.3,33.7,64.3,1.7,20.9,7.8,14.8,13,62.6,48.6,51.4,62.5,37.5,51.1,48.9
LAL,LAL vs. OKC,8/5/20,L,48,86,31,88,35.2,5,37,13.5,19,29,65.5,10,36,46,17,11,7,3,24,-19,84.3,102.9,-18.6,54.8,1.55,13.1,83.3,46.8,42.7,102,34.5,0.381,0.33,10.8,0.19,0.462,0.456,13.7,0.167,18,11,13,44,12,6,18,46,58,42,60.5,9.3,17.4,15.1,22.1,20.9,51.2,46.2,53.8,100,0,54.8,45.2
TOR,TOR @ ORL,8/5/20,W,48,109,38,78,48.7,12,33,36.4,21,30,70,3,41,44,25,15,6,2,21,10,104.8,96.1,8.7,65.8,1.67,18.7,81.8,51,59.8,103.5,56.8,0.564,0.385,14.4,0.116,0.466,0.299,12.6,0.182,11,5,18,52,10,8,11,38,57.7,42.3,47.7,0,33,16.5,19.3,10.1,47.7,57.7,42.3,83.3,16.7,65.8,34.2
UTA,UTA vs. MEM,8/5/20,W,48,124,38,84,45.2,18,45,40,30,33,90.9,11,35,46,25,18,5,4,23,9,117,110.6,6.4,65.8,1.39,17.4,75.5,54.2,62.9,105,55.9,0.56,0.393,17,0.319,0.533,0.275,13.5,0.245,15,17,6,36,23,10,5,56,46.4,53.6,32.3,3.2,43.5,4.8,24.2,12.1,29,55,45,77.8,22.2,65.8,34.2
DEN,DEN @ SAS,8/5/20,W,48,132,50,91,54.9,14,36,38.9,18,21,85.7,14,32,46,31,14,6,5,21,6,132,124.8,7.2,62,2.21,21.2,67.3,52.2,65.8,100.5,52.8,0.626,0.231,14,0.349,0.554,0.29,8.9,0.327,15,21,5,56,17,13,13,56,60.4,39.6,54.5,12.1,31.8,3.8,13.6,11.4,42.4,52.8,47.2,85.7,14.3,62,38
BOS,BOS vs. BKN,8/5/20,W,48,149,50,88,56.8,20,39,51.3,29,35,82.9,6,37,43,29,14,10,10,23,34,136.7,106.5,30.2,58,2.07,19.7,75.5,53.2,72.1,108.5,64.3,0.682,0.398,12.8,0.244,0.516,0.221,16.7,0.245,19,9,15,48,15,14,9,72,55.7,44.3,40.3,8.1,40.3,10.1,19.5,12.8,32.2,56.7,43.3,60,40,58,42
OKC,OKC @ LAL,8/5/20,W,48,105,34,79,43,5,24,20.8,32,36,88.9,4,48,52,17,14,9,2,23,19,102.9,84.3,18.6,50,1.21,13.4,81,53.2,55.4,102,65.5,0.462,0.456,13.7,0.167,0.381,0.33,10.8,0.19,12,6,18,46,18,11,13,44,69.6,30.4,55.2,11.4,14.3,17.1,30.5,11.4,43.8,44.8,55.2,80,20,50,50
ORL,ORL vs. TOR,8/5/20,L,48,99,35,87,40.2,11,41,26.8,18,26,69.2,8,35,43,26,13,8,4,26,-10,96.1,104.8,-8.7,74.3,2,18.7,88.4,49,50.3,103.5,43.2,0.466,0.299,12.6,0.182,0.564,0.385,14.4,0.116,10,8,11,38,11,5,18,52,52.9,47.1,48.5,10.1,33.3,11.1,18.2,10.1,38.4,62.5,37.5,100,0,74.3,25.7
SAC,SAC vs. DAL,8/4/20,L,53,110,43,104,41.3,16,43,37.2,8,12,66.7,8,39,47,26,11,8,3,37,-4,100.9,107.5,-6.6,60.5,2.36,17.4,65.1,46,50.3,97.36,46.3,0.49,0.115,10.1,0.27,0.417,0.556,16,0.349,14,13,7,38,9,20,5,40,58.7,41.3,49.1,14.5,43.6,6.4,7.3,12.7,34.5,44.4,55.6,87.5,12.5,60.5,39.5
POR,POR vs. HOU,8/4/20,W,48,110,39,95,41.1,12,31,38.7,20,29,69,15,49,64,18,12,7,5,21,8,106.8,100,6.8,46.2,1.5,12.8,87.7,59.8,51,102.5,56.8,0.474,0.305,11.7,0.333,0.5,0.276,9.8,0.123,11,13,16,44,9,9,9,28,67.4,32.6,49.1,9.1,32.7,14.5,18.2,10,40,48.1,51.9,41.7,58.3,46.2,53.8
