TEAM,MATCH_UP,GAME_DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,DREB%,REB%,TS%,PACE,PIE,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,PTS OFF TO,2ND PTS,FBPS,PITP,OPP PTS OFF TO,OPP 2ND PTS,OPP FBPS,OPP PITP,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFF TO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
PHX,PHX @ LAC,8/4/20,W,48,117,45,96,46.9,17,32,53.1,10,14,71.4,11,33,44,25,8,5,0,21,2,118.2,115,3.2,55.6,3.13,18.5,79.5,46.9,57.3,99.5,47.9,0.557,0.146,8.1,0.204,0.541,0.318,10,0.205,11,10,8,30,6,12,14,54,66.7,33.3,47.9,22.2,43.6,6.8,8.5,9.4,25.6,46.4,53.6,70.6,29.4,55.6,44.4
ORL,ORL @ IND,8/4/20,L,48,109,39,82,47.6,12,34,35.3,19,23,82.6,11,32,43,21,18,3,2,22,-11,112.4,121.2,-8.8,53.8,1.17,16.2,87.5,55.3,59.2,98,40.2,0.549,0.28,18.6,0.267,0.625,0.226,7.1,0.125,12,10,13,44,23,8,13,52,58.5,41.5,49.5,9.2,33,11.9,17.4,11,40.4,40.7,59.3,83.3,16.7,53.8,46.2
LAC,LAC vs. PHX,8/4/20,L,48,115,42,85,49.4,8,29,27.6,23,27,85.2,8,40,48,21,10,2,3,16,-2,115,118.2,-3.2,50,2.1,16.2,79.6,53.1,59.4,99.5,52.1,0.541,0.318,10,0.205,0.557,0.146,8.1,0.204,6,12,14,54,11,10,8,30,65.9,34.1,59.1,12.2,20.9,12.2,20,5.2,47,41.2,58.8,87.5,12.5,50,50
MIL,MIL vs. BKN,8/4/20,L,48,116,42,88,47.7,17,51,33.3,15,23,65.2,7,47,54,28,19,3,5,19,-3,106.4,112.3,-5.8,66.7,1.47,18.7,83.9,57.5,59.1,107.5,52.3,0.574,0.261,17.4,0.255,0.519,0.155,6.6,0.161,7,9,21,48,27,9,17,32,42,58,43.1,1.7,44,18.1,12.9,6,41.4,52,48,88.2,11.8,66.7,33.3
BKN,BKN @ MIL,8/4/20,W,48,119,43,103,41.7,21,57,36.8,12,16,75,7,35,42,30,7,5,6,26,3,112.3,106.4,5.8,69.8,4.29,20.5,74.5,42.5,54.1,107.5,47.7,0.519,0.155,6.6,0.161,0.574,0.261,17.4,0.255,27,9,17,32,7,9,21,48,44.7,55.3,37,10.1,52.9,14.3,10.1,22.7,26.9,50,50,90.5,9.5,69.8,30.2
HOU,HOU @ POR,8/4/20,L,48,102,34,87,39.1,19,53,35.8,15,24,62.5,5,34,39,24,10,7,3,26,-8,100,106.8,-6.8,70.6,2.4,18,66.7,40.2,52.3,102.5,43.2,0.5,0.276,9.8,0.123,0.474,0.305,11.7,0.333,9,9,9,28,11,13,16,44,39.1,60.9,29.4,2,55.9,8.8,14.7,8.8,27.5,53.3,46.7,84.2,15.8,70.6,29.4
DAL,DAL @ SAC,8/4/20,W,53,114,33,90,36.7,9,41,22,39,50,78,17,44,61,22,17,4,2,21,4,107.5,100.9,6.6,66.7,1.29,14.7,73,54,50.9,97.36,53.7,0.417,0.556,16,0.349,0.49,0.115,10.1,0.27,9,20,5,40,14,13,7,38,54.4,45.6,42.1,7,23.7,4.4,34.2,7.9,35.1,58.3,41.7,88.9,11.1,66.7,33.3
MIA,MIA vs. BOS,8/4/20,W,48,112,34,77,44.2,15,43,34.9,29,39,74.4,12,30,42,22,13,8,5,19,6,117.9,111.6,6.3,64.7,1.69,16.9,62,45.9,59.5,95,56.7,0.539,0.506,13.7,0.292,0.494,0.318,16.8,0.38,21,20,3,28,15,23,4,54,44.2,55.8,33.9,8.9,40.2,2.7,25.9,18.8,25,47.4,52.6,86.7,13.3,64.7,35.3
IND,IND vs. ORL,8/4/20,W,48,120,46,84,54.8,13,33,39.4,15,19,78.9,2,30,32,29,7,10,3,17,11,121.2,112.4,8.8,63,4.14,21.8,73.3,44.7,65,98,59.8,0.625,0.226,7.1,0.125,0.549,0.28,18.6,0.267,23,8,13,52,12,10,13,44,60.7,39.3,55,11.7,32.5,10.8,12.5,19.2,43.3,48.5,51.5,100,0,63,37
BOS,BOS @ MIA,8/4/20,L,48,106,37,85,43.5,10,33,30.3,22,27,81.5,14,31,45,15,16,7,4,26,-6,111.6,117.9,-6.3,40.5,0.94,11.7,70.8,54.1,54.7,95,43.3,0.494,0.318,16.8,0.38,0.539,0.506,13.7,0.292,15,23,4,54,21,20,3,28,61.2,38.8,50.9,0,28.3,3.8,20.8,14.2,50.9,33.3,66.7,60,40,40.5,59.5
MIA,MIA vs. TOR,8/3/20,L,48,103,37,87,42.5,14,45,31.1,15,16,93.8,8,33,41,29,15,9,8,24,-4,103,108.1,-5.1,78.4,1.93,20.6,84.6,50,54.8,99.5,50.5,0.506,0.184,15,0.235,0.552,0.537,21.2,0.154,17,12,16,36,15,8,12,22,48.3,51.7,44.7,9.7,40.8,15.5,14.6,16.5,35,69.6,30.4,92.9,7.1,78.4,21.6
TOR,TOR @ MIA,8/3/20,W,48,107,29,67,43.3,16,32,50,33,36,91.7,3,36,39,19,21,6,3,19,4,108.1,103,5.1,65.5,0.9,15.3,76.5,50,64.6,99.5,49.5,0.552,0.537,21.2,0.154,0.506,0.184,15,0.235,15,8,12,22,17,12,16,36,52.2,47.8,24.3,3.7,44.9,11.2,30.8,14,20.6,69.2,30.8,62.5,37.5,65.5,34.5
WAS,WAS vs. IND,8/3/20,L,48,100,41,94,43.6,11,30,36.7,7,13,53.8,9,36,45,30,13,6,7,19,-11,101,112.1,-11.1,73.2,2.31,20.8,79.2,50.5,50.1,99,44.7,0.495,0.138,13.1,0.263,0.516,0.174,10.1,0.208,12,11,19,44,22,18,10,62,68.1,31.9,60,16,33,19,7,12,44,63.3,36.7,100,0,73.2,26.8
IND,IND @ WAS,8/3/20,W,48,111,44,92,47.8,7,26,26.9,16,16,100,9,36,45,20,10,6,11,15,11,112.1,101,11.1,45.5,2,15.5,73.7,49.5,56,99,55.3,0.516,0.174,10.1,0.208,0.495,0.138,13.1,0.263,22,18,10,62,12,11,19,44,71.7,28.3,66.7,10.8,18.9,9,14.4,19.8,55.9,43.2,56.8,57.1,42.9,45.5,54.5
LAL,LAL @ UTA,8/3/20,W,48,116,41,82,50,9,26,34.6,25,31,80.6,4,34,38,23,14,12,3,24,8,112.6,104.9,7.8,56.1,1.64,17.2,76.6,48.4,60.6,103,55.8,0.555,0.378,13.6,0.182,0.518,0.301,20.4,0.234,26,8,16,58,12,10,12,44,68.3,31.7,55.2,5.2,23.3,13.8,21.6,22.4,50,53.1,46.9,66.7,33.3,56.1,43.9
MEM,MEM @ NOP,8/3/20,L,48,99,37,93,39.8,12,43,27.9,13,15,86.7,8,35,43,25,14,3,10,32,-10,94.3,104.8,-10.5,67.6,1.79,17.7,78.8,47.7,49.7,104.5,42.3,0.462,0.161,13.3,0.193,0.518,0.476,14.4,0.212,15,14,7,48,13,7,23,42,53.8,46.2,50.5,2,36.4,7.1,13.1,15.2,48.5,56,44,91.7,8.3,67.6,32.4
UTA,UTA vs. LAL,8/3/20,L,48,108,37,83,44.6,12,43,27.9,22,25,88,7,35,42,25,21,8,3,29,-8,104.9,112.6,-7.8,67.6,1.19,18.1,81.8,51.6,57.4,103,44.2,0.518,0.301,20.4,0.234,0.555,0.378,13.6,0.182,12,10,12,44,26,8,16,58,48.2,51.8,46.3,5.6,33.3,11.1,20.4,11.1,40.7,60,40,83.3,16.7,67.6,32.4
OKC,OKC vs. DEN,8/3/20,L,53,113,37,87,42.5,15,36,41.7,24,31,77.4,8,34,42,20,16,4,5,32,-8,105.6,112,-6.4,54.1,1.25,14.4,74,49,56.1,97.36,41.8,0.511,0.356,15,0.25,0.523,0.448,12,0.26,13,10,9,28,22,12,15,50,58.6,41.4,38.9,14.2,39.8,8,21.2,11.5,24.8,40.9,59.1,73.3,26.7,54.1,45.9
PHI,PHI vs. SAS,8/3/20,W,48,132,46,87,52.9,14,31,45.2,26,30,86.7,8,27,35,26,13,6,6,25,2,126.9,125,1.9,56.5,2,18.4,63.8,45.1,65.9,104,50.8,0.609,0.345,12.5,0.25,0.559,0.312,13.5,0.362,13,16,7,54,16,18,9,44,64.4,35.6,48.5,7.6,31.8,5.3,19.7,9.8,40.9,40.6,59.4,92.9,7.1,56.5,43.5
NOP,NOP vs. MEM,8/3/20,W,48,109,37,82,45.1,11,29,37.9,24,39,61.5,8,41,49,25,15,7,1,20,10,104.8,94.3,10.5,67.6,1.67,17.9,80.7,52.3,55,104.5,57.7,0.518,0.476,14.4,0.212,0.462,0.161,13.3,0.193,13,7,23,42,15,14,7,48,64.6,35.4,47.7,9.2,30.3,21.1,22,11.9,38.5,61.5,38.5,81.8,18.2,67.6,32.4
DEN,DEN @ OKC,8/3/20,W,53,121,42,87,48.3,7,25,28,30,39,76.9,9,37,46,23,13,10,3,29,8,112,105.6,6.4,54.8,1.77,16.1,75,51,58.1,97.36,58.2,0.523,0.448,12,0.26,0.511,0.356,15,0.25,22,12,15,50,13,10,9,28,71.3,28.7,57.9,16.5,17.4,12.4,24.8,18.2,41.3,48.6,51.4,85.7,14.3,54.8,45.2
SAS,SAS @ PHI,8/3/20,L,48,130,46,93,49.5,12,26,46.2,26,29,89.7,13,31,44,21,14,7,6,23,-2,125,126.9,-1.9,45.7,1.5,14.9,75,54.9,61.5,104,49.2,0.559,0.312,13.5,0.362,0.609,0.345,12.5,0.25,16,18,9,44,13,16,7,54,72,28,52.3,18.5,27.7,6.9,20,12.3,33.8,35.3,64.7,75,25,45.7,54.3
MIL,MIL @ HOU,8/2/20,L,48,116,45,92,48.9,9,35,25.7,17,23,73.9,17,48,65,21,23,6,6,23,-4,109.4,113.2,-3.8,46.7,0.91,14.4,84.5,61.8,56.8,106,51,0.538,0.25,21.7,0.365,0.511,0.341,8.5,0.155,17,23,10,60,30,14,15,18,62,38,62.1,10.3,23.3,8.6,14.7,14.7,51.7,44.4,55.6,55.6,44.4,46.7,53.3
POR,POR @ BOS,8/2/20,L,48,124,45,90,50,19,42,45.2,15,16,93.8,9,26,35,31,12,8,5,25,-4,125.3,132,-6.7,68.9,2.58,21.5,75.7,51.2,63.9,98,48.7,0.606,0.178,12.1,0.311,0.662,0.442,14.4,0.243,22,10,6,40,10,15,17,38,53.3,46.7,41.9,9.7,46,4.8,12.1,17.7,32.3,65.4,34.6,73.7,26.3,68.9,31.1
MEM,MEM vs. SAS,8/2/20,L,48,106,42,91,46.2,7,30,23.3,15,18,83.3,3,36,39,27,12,5,3,27,-2,101.9,102.9,-0.9,64.3,2.25,19.7,72.2,43.4,53.6,104.5,50.3,0.5,0.198,11.5,0.135,0.488,0.384,16.2,0.278,19,3,14,64,16,11,0,28,67,33,66,5.7,19.8,13.2,14.2,17.9,60.4,57.1,42.9,100,0,64.3,35.7
DAL,DAL @ PHX,8/2/20,L,48,115,38,93,40.9,6,31,19.4,33,37,89.2,10,39,49,22,8,8,5,22,-2,109.5,111.4,-1.9,57.9,2.75,15.6,80.4,50.9,52.6,105,50.9,0.441,0.398,7.6,0.246,0.516,0.247,10.5,0.196,11,11,13,52,6,11,11,48,66.7,33.3,55.7,10.4,15.7,11.3,28.7,9.6,45.2,53.1,46.9,83.3,16.7,57.9,42.1
ORL,ORL vs. SAC,8/2/20,W,48,132,43,82,52.4,18,38,47.4,28,35,80,12,34,46,31,18,10,4,25,16,125.7,111.5,14.2,72.1,1.72,20.9,75,52.7,67.8,104.5,56.4,0.634,0.427,17.1,0.279,0.538,0.242,14.4,0.25,22,12,12,38,26,14,11,56,53.7,46.3,37.9,9.1,40.9,9.1,21.2,16.7,28.8,56,44,94.4,5.6,72.1,27.9
SAC,SAC @ ORL,8/2/20,L,48,116,45,91,49.5,8,28,28.6,18,22,81.8,9,30,39,30,15,10,0,28,-16,111.5,125.7,-14.2,66.7,2,20.5,72.1,47.3,57.6,104.5,43.6,0.538,0.242,14.4,0.25,0.634,0.427,17.1,0.279,26,14,11,56,22,12,12,38,69.2,30.8,63.8,15.5,20.7,9.5,15.5,22.4,48.3,59.5,40.5,100,0,66.7,33.3
HOU,HOU vs. MIL,8/2/20,W,48,120,36,91,39.6,21,61,34.4,27,31,87.1,6,30,36,22,9,15,3,24,4,113.2,109.4,3.8,61.1,2.44,16.1,63.5,38.2,57.3,106,49,0.511,0.341,8.5,0.155,0.538,0.25,21.7,0.365,30,14,15,18,17,23,10,60,33,67,25,10,52.5,12.5,22.5,25,15,26.7,73.3,85.7,14.3,61.1,38.9
WAS,WAS @ BKN,8/2/20,L,48,110,40,88,45.5,9,31,29,21,27,77.8,10,36,46,26,13,6,6,31,-8,108.9,118,-9.1,65,2,18.6,68.5,48.6,55.1,100.5,47.7,0.506,0.307,12.9,0.275,0.483,0.411,11,0.315,18,5,11,42,17,9,13,52,64.8,35.2,56.4,18.2,24.5,10,19.1,16.4,38.2,58.1,41.9,88.9,11.1,65,35
SAS,SAS @ MEM,8/2/20,W,48,108,36,86,41.9,12,29,41.4,24,33,72.7,12,37,49,22,17,5,6,20,2,102.9,101.9,0.9,61.1,1.29,15.7,86.5,56.6,53.7,104.5,49.7,0.488,0.384,16.2,0.278,0.5,0.198,11.5,0.135,16,11,0,28,19,3,14,64,66.3,33.7,44.4,18.5,33.3,0,22.2,14.8,25.9,45.8,54.2,91.7,8.3,61.1,38.9
BOS,BOS vs. POR,8/2/20,W,48,128,42,77,54.5,18,30,60,26,34,76.5,6,30,36,24,14,9,6,21,4,132,125.3,6.7,57.1,1.71,18.5,68.9,48.8,69.6,98,51.3,0.662,0.442,14.4,0.243,0.606,0.178,12.1,0.311,10,15,17,38,22,10,6,40,61,39,37.5,7.8,42.2,13.3,20.3,7.8,29.7,50,50,66.7,33.3,57.1,42.9
BKN,BKN vs. WAS,8/2/20,W,48,118,38,90,42.2,11,33,33.3,31,37,83.8,13,35,48,23,11,5,4,24,8,118,108.9,9.1,60.5,2.09,16.4,72.5,51.4,55.5,100.5,52.3,0.483,0.411,11,0.315,0.506,0.307,12.9,0.275,17,9,13,52,18,5,11,42,63.3,36.7,45.8,1.7,28,11,26.3,14.4,44.1,48.1,51.9,90.9,9.1,60.5,39.5
PHX,PHX vs. DAL,8/2/20,W,48,117,42,93,45.2,12,33,36.4,21,23,91.3,6,43,49,22,11,5,4,29,2,111.4,109.5,1.9,52.4,2,16.2,75.4,49.1,56.7,105,49.1,0.516,0.247,10.5,0.196,0.441,0.398,7.6,0.246,6,11,11,48,11,11,13,52,64.5,35.5,51.3,10.3,30.8,9.4,17.9,5.1,41,40,60,83.3,16.7,52.4,47.6
OKC,OKC vs. UTA,8/1/20,W,48,110,41,77,53.2,10,26,38.5,18,24,75,11,36,47,19,22,9,8,21,16,113.4,94.9,18.5,46.3,0.86,14.7,70.4,56,62.8,98,62.5,0.597,0.312,22.7,0.351,0.437,0.253,16.2,0.296,12,13,13,50,25,8,13,46,66.2,33.8,56.4,10.9,27.3,11.8,16.4,10.9,45.5,38.7,61.3,70,30,46.3,53.7
UTA,UTA @ OKC,8/1/20,L,48,94,34,87,39.1,8,31,25.8,18,22,81.8,12,23,35,17,16,11,4,21,-16,94.9,113.4,-18.5,50,1.06,12.9,64.9,44,48.6,98,37.5,0.437,0.253,16.2,0.296,0.597,0.312,22.7,0.351,25,8,13,46,12,13,13,50,64.4,35.6,55.3,6.4,25.5,13.8,19.1,26.6,48.9,42.3,57.7,75,25,50,50
MIA,MIA @ DEN,8/1/20,W,48,125,40,72,55.6,13,29,44.8,32,37,86.5,6,32,38,29,16,7,2,28,20,123.8,106.1,17.7,72.5,1.81,21.2,65.4,48.2,70.8,100,63.6,0.646,0.514,15.8,0.212,0.483,0.27,19.2,0.346,35,5,11,50,17,21,10,50,59.7,40.3,43.2,3.2,31.2,8.8,25.6,28,40,59.3,40.7,100,0,72.5,27.5
DEN,DEN vs. MIA,8/1/20,L,48,105,39,89,43.8,8,35,22.9,19,24,79.2,13,25,38,28,19,7,2,32,-20,106.1,123.8,-17.7,71.8,1.47,19.3,78.8,51.8,52.7,100,36.4,0.483,0.27,19.2,0.346,0.646,0.514,15.8,0.212,17,21,10,50,35,5,11,50,60.7,39.3,59,11.4,22.9,9.5,18.1,16.2,47.6,67.7,32.3,87.5,12.5,71.8,28.2
LAC,LAC vs. NOP,8/1/20,W,48,126,37,87,42.5,25,47,53.2,27,35,77.1,8,40,48,23,10,10,2,28,23,120,99,21,62.2,2.3,16.5,76.9,48.6,61.5,104.5,58.4,0.569,0.402,9.5,0.208,0.5,0.329,17.3,0.231,34,16,4,20,21,12,4,46,46,54,19,3.2,59.5,3.2,21.4,27,15.9,58.3,41.7,64,36,62.2,37.8
IND,IND vs. PHI,8/1/20,W,48,127,48,95,50.5,14,34,41.2,17,23,73.9,10,24,34,31,10,8,5,25,6,121,116.3,4.6,64.6,3.1,20.9,56.3,40.4,60.4,104.5,54.5,0.579,0.242,9.5,0.255,0.543,0.269,20.2,0.438,26,13,13,44,17,24,15,68,64.2,35.8,53.5,18.9,33.1,10.2,13.4,20.5,34.6,58.8,41.2,78.6,21.4,64.6,35.4
LAL,LAL @ TOR,8/1/20,L,48,92,29,82,35.4,10,40,25,24,33,72.7,8,32,40,17,18,8,12,25,-15,89.3,102.9,-13.6,58.6,0.94,12.9,76,46.7,47.7,103.5,37.5,0.415,0.402,17.5,0.211,0.5,0.31,17.3,0.24,10,10,13,34,22,6,15,40,51.2,48.8,41.3,4.3,32.6,14.1,26.1,10.9,37,47.4,52.6,80,20,58.6,41.4
NOP,NOP @ LAC,8/1/20,L,48,103,38,85,44.7,9,30,30,18,28,64.3,9,39,48,24,18,4,1,23,-23,99,120,-21,63.2,1.33,17.1,79.2,51.4,52.9,104.5,41.6,0.5,0.329,17.3,0.231,0.569,0.402,9.5,0.208,21,12,4,46,34,16,4,20,64.7,35.3,56.3,11.7,26.2,3.9,17.5,20.4,44.7,51.7,48.3,100,0,63.2,36.8
PHI,PHI @ IND,8/1/20,L,48,121,46,93,49.5,9,25,36,20,25,80,20,35,55,20,21,6,5,30,-6,116.3,121,-4.6,43.5,0.95,13.8,74.5,59.6,58.2,104.5,45.5,0.543,0.269,20.2,0.438,0.579,0.242,9.5,0.255,17,24,15,68,26,13,13,44,73.1,26.9,61.2,5,22.3,12.4,16.5,14,56.2,32.4,67.6,88.9,11.1,43.5,56.5
TOR,TOR vs. LAL,8/1/20,W,48,107,35,84,41.7,14,34,41.2,23,26,88.5,7,44,51,24,18,7,5,28,15,102.9,89.3,13.6,68.6,1.33,17.1,78.9,53.3,56.1,103.5,62.5,0.5,0.31,17.3,0.24,0.415,0.402,17.5,0.211,22,6,15,40,10,10,13,34,59.5,40.5,39.3,1.9,39.3,14,21.5,20.6,37.4,61.9,38.1,78.6,21.4,68.6,31.4
MIL,MIL vs. BOS,7/31/20,W,48,119,39,84,46.4,13,41,31.7,28,34,82.4,7,40,47,25,15,9,7,26,7,111.2,106.7,4.5,64.1,1.67,17.9,71.9,49,60.1,106,58.5,0.542,0.405,14,0.213,0.467,0.374,15.2,0.281,22,4,16,48,18,11,18,38,51.2,48.8,43.7,3.4,32.8,13.4,23.5,18.5,40.3,57.7,42.3,76.9,23.1,64.1,35.9
WAS,WAS vs. PHX,7/31/20,L,48,112,42,91,46.2,8,22,36.4,20,23,87,8,28,36,18,18,7,2,26,-13,103.7,115.7,-12,42.9,1,13,81.6,49.4,55.4,108,38.4,0.505,0.253,16.7,0.245,0.594,0.4,16.7,0.184,21,9,22,48,26,7,19,50,75.8,24.2,60.7,17.9,21.4,19.6,17.9,18.8,42.9,32.4,67.6,87.5,12.5,42.9,57.1
BKN,BKN vs. ORL,7/31/20,L,48,118,44,91,48.4,13,42,31,17,23,73.9,10,29,39,30,14,4,2,25,-10,113.5,123.1,-9.6,68.2,2.14,20.7,76.7,47.3,58.3,104,42.9,0.555,0.253,13.5,0.22,0.592,0.322,13.5,0.233,9,7,8,50,13,13,7,44,53.8,46.2,52.5,10.2,33.1,6.8,14.4,7.6,42.4,54.8,45.2,100,0,68.2,31.8
SAS,SAS vs. SAC,7/31/20,W,48,129,48,90,53.3,11,25,44,22,27,81.5,9,33,42,32,15,6,4,17,9,120.6,111.1,9.4,66.7,2.13,21.5,69.4,46.8,63.3,107.5,57,0.594,0.3,14,0.222,0.547,0.211,16.7,0.306,25,11,13,52,16,12,26,60,72.2,27.8,57.4,17.1,25.6,10.1,17.1,19.4,40.3,56.8,43.2,100,0,66.7,33.3
ORL,ORL @ BKN,7/31/20,W,48,128,46,87,52.9,11,31,35.5,25,28,89.3,6,36,42,31,14,8,3,23,10,123.1,113.5,9.6,67.4,2.21,21.5,78,52.7,64.4,104,57.1,0.592,0.322,13.5,0.233,0.555,0.253,13.5,0.22,13,13,7,44,9,7,8,50,64.4,35.6,54.7,20.3,25.8,5.5,19.5,10.2,34.4,60,40,90.9,9.1,67.4,32.6
SAC,SAC @ SAS,7/31/20,L,48,120,46,95,48.4,12,38,31.6,16,20,80,8,34,42,22,18,11,2,25,-9,111.1,120.6,-9.4,47.8,1.22,15.2,77.8,53.2,57.8,107.5,43,0.547,0.211,16.7,0.306,0.594,0.3,14,0.222,16,12,26,60,25,11,13,52,60,40,56.7,6.7,30,21.7,13.3,13.3,50,32.4,67.6,91.7,8.3,47.8,52.2
PHX,PHX @ WAS,7/31/20,W,48,125,42,80,52.5,11,32,34.4,30,32,93.8,4,33,37,29,18,10,3,24,13,115.7,103.7,12,69,1.61,20.3,75.5,50.6,66.4,108,61.6,0.594,0.4,16.7,0.184,0.505,0.253,16.7,0.245,26,7,19,50,21,9,22,48,60,40,49.6,9.6,26.4,15.2,24,20.8,40,61.3,38.7,90.9,9.1,69,31
POR,POR vs. MEM,7/31/20,W,53,140,49,91,53.8,13,30,43.3,29,34,85.3,9,33,42,27,17,10,9,36,5,123.9,118.4,5.5,55.1,1.59,18,67.9,48.5,66.1,102.79,53.5,0.61,0.374,15,0.25,0.522,0.538,11.4,0.321,12,6,8,54,26,25,18,50,67,33,51.4,12.9,27.9,5.7,20.7,8.6,38.6,47.2,52.8,76.9,23.1,55.1,44.9
DAL,DAL vs. HOU,7/31/20,L,53,149,50,105,47.6,21,49,42.9,28,38,73.7,13,42,55,30,20,7,4,36,-4,125.2,128.6,-3.4,60,1.5,17.6,83,57.4,61.2,107.77,45.7,0.576,0.362,16.8,0.355,0.609,0.386,7.6,0.17,10,24,7,44,20,11,20,64,53.3,46.7,38.9,9.4,42.3,4.7,18.8,6.7,29.5,41.4,58.6,85.7,14.3,60,40
BOS,BOS @ MIL,7/31/20,L,48,112,37,91,40.7,11,37,29.7,27,34,79.4,14,34,48,18,16,8,5,28,-7,106.7,111.2,-4.5,48.6,1.13,12.9,78.7,51,52.9,106,41.5,0.467,0.374,15.2,0.281,0.542,0.405,14,0.213,18,11,18,38,22,4,16,48,59.3,40.7,46.4,12.5,29.5,16.1,24.1,16.1,33.9,34.6,65.4,81.8,18.2,48.6,51.4
MEM,MEM @ POR,7/31/20,L,53,135,42,93,45.2,13,41,31.7,38,50,76,10,29,39,25,13,9,5,26,-5,118.4,123.9,-5.5,59.5,1.92,16,75,51.5,58.7,102.79,46.5,0.522,0.538,11.4,0.321,0.61,0.374,15,0.25,26,25,18,50,12,6,8,54,55.9,44.1,43,5.9,28.9,13.3,28.1,19.3,37,44.8,55.2,92.3,7.7,59.5,40.5
HOU,HOU @ DAL,7/31/20,W,53,153,52,101,51.5,19,48,39.6,30,39,76.9,7,36,43,26,9,12,10,31,4,128.6,125.2,3.4,50,2.89,16.9,64.5,42.6,64.7,107.77,54.3,0.609,0.386,7.6,0.17,0.576,0.362,16.8,0.355,20,11,20,64,10,24,7,44,52.5,47.5,43.1,1.3,37.3,13.1,19.6,13.1,41.8,33.3,66.7,78.9,21.1,50,50
UTA,UTA @ NOP,7/30/20,W,48,106,37,84,44,8,34,23.5,24,28,85.7,12,31,43,17,20,11,6,23,2,103.9,103,1,45.9,0.85,12.5,63.2,49.5,55,101.5,52.8,0.488,0.333,19.6,0.34,0.484,0.191,20.8,0.368,20,17,7,56,14,22,7,48,59.5,40.5,54.7,1.9,22.6,6.6,22.6,18.9,52.8,41.4,58.6,62.5,37.5,45.9,54.1
LAL,LAL vs. LAC,7/30/20,W,48,103,32,82,39,11,36,30.6,28,37,75.7,11,34,45,21,16,6,3,27,2,100,99,1,65.6,1.31,15.2,81.4,50,52.4,102.5,53.7,0.457,0.451,15.5,0.255,0.541,0.378,21.6,0.186,14,10,9,40,29,5,8,24,56.1,43.9,40.8,1.9,32,8.7,27.2,13.6,38.8,52.4,47.6,90.9,9.1,65.6,34.4
NOP,NOP vs. UTA,7/30/20,L,48,104,40,94,42.6,11,31,35.5,13,18,72.2,15,30,45,22,21,12,2,25,-2,103,103.9,-1,55,1.05,15.3,66,50.5,51,101.5,47.2,0.484,0.191,20.8,0.368,0.488,0.333,19.6,0.34,14,22,7,48,20,17,7,56,67,33,55.8,9.6,31.7,6.7,12.5,13.5,46.2,41.4,58.6,90.9,9.1,55,45
LAC,LAC @ LAL,7/30/20,L,48,101,32,74,43.2,16,36,44.4,21,28,75,4,32,36,17,22,6,5,30,-2,99,100,-1,53.1,0.77,13.4,74.5,50,58.5,102.5,46.3,0.541,0.378,21.6,0.186,0.457,0.451,15.5,0.255,29,5,8,24,14,10,9,40,51.4,48.6,31.7,7.9,47.5,7.9,20.8,28.7,23.8,50,50,56.3,43.8,53.1,46.9